,subtitles,links
42,Arsenal vs Bournemouth bonus: Get money back as CASH if you lose and 100-1 tip,https://www.thesun.co.uk/sport/21569476/arsenal-bournemouth-bonus-tips-preview-prediction/
43,Get Money back as CASH up to £20 if your first football bet loses - Paddy Power,https://www.thesun.co.uk/sport/betting-tips/19782139/paddy-power-money-back-free-bets-football/
44,Moment Rangers fans attack pub before being chased off by 'Celtic maws',https://www.thesun.co.uk/sport/21584642/rangers-fans-attack-pub-chased-off-celtic-maws/
45,Ronaldo scoffs a football cake in tiny boxers.. but fans see right through it,https://www.thesun.co.uk/sport/21581749/cristiano-ronaldo-underwear-football-cake/
46,Arsenal fans hail Trossard as January signing of the season ahead of Mudryk,https://www.thesun.co.uk/sport/21568144/arsenal-fans-hail-trossard-mudryk-stats/
47,We live near a Prem ground and we HATE it - fans poo in front of our homes,https://www.thesun.co.uk/sport/21565782/neighbours-premier-league-ground-disgusted-poo/
48,Saka's the heir to Henry's throne at Arsenal.. but he must develop a mean streak,https://www.thesun.co.uk/sport/21577873/bukayo-saka-heir-thierry-henry-arsenal/
49,Premier League chief gives major update on 3pm blackout after fan outrage,https://www.thesun.co.uk/sport/21575134/premier-league-update-blackout-tv/
50,How to get free bets on football - the best bookies to claim rewards and bonuses,https://www.thesun.co.uk/betting/19779073/football-free-bets-offers-bonus-new-sign-up/
51,How Man City could line up next season with Rice as Pep Guardiola plans overhaul,https://www.thesun.co.uk/sport/21566591/man-city-line-up-declan-rice-transfer-guardiola/
52,Tuchel spotted leaving Munich restaurant with girlfriend 13 years his junior,https://www.thesun.co.uk/sport/21565805/chelsea-thomas-tuchel-munich-restaurant-girlfriend/
53,Chelsea aces fear for Mount after series of uncharacteristic flashpoints,https://www.thesun.co.uk/sport/21572270/chelsea-stars-mason-mount-uncharacteristic-flashpoints/
54,Man Utd stars' bonuses revealed with huge cash boost if they win quadruple,https://www.thesun.co.uk/sport/21576810/man-utd-bonuses-revealed-quadruple/
55,I'm a former Premier League striker - now I run a 10-bedroom B&B in York,https://www.thesun.co.uk/sport/21571617/former-premier-league-striker-york/
56,"Meet Alex Scott, the £25m rated Bristol City teen, who Guardiola raved about",https://www.thesun.co.uk/sport/21567322/alex-scott-bristol-city-pep-guardiola/
57,Gerrard tipped to become new PSG boss in shock move as he looks for new job,https://www.thesun.co.uk/sport/21569881/steven-gerrard-psg-manager-liverpool-job-aston-villa/
58,Mane predicts more Premier League aces will join Bundesliga... thanks to Ronaldo,https://www.thesun.co.uk/sport/21581166/cristiano-ronaldo-sadio-mane-liverpool-bayern-munich-transfer/
59,Arsenal open to Tierney transfer offers this summer in huge boost to Newcastle,https://www.thesun.co.uk/sport/21581512/arsenal-kieran-tierney-transfer-boost-newcastle/
60,Chelsea transfer boost as Everton ace Amadou Onana drops BIG hint on his future,https://www.thesun.co.uk/sport/21577317/chelsea-transfer-everton-onana/
61,"De Jong transfer interest continues, takeover latest with more talks planned",https://www.thesun.co.uk/sport/21564391/man-utd-news-live-qatar-takeover-ten-hag-exclusive/
62,"Caicedo TWIST, Tierney URGED to make Newcastle switch",https://www.thesun.co.uk/sport/21454224/arsenal-news-live-tierney-newcastle-julian-brandt-declan-rice/
63,Napoli wonderkid Kvaratskhelia’s agent reveals which club star wants to join,https://www.thesun.co.uk/sport/21573918/napoli-khvicha-kvaratskhelia-chelsea-newcastle-real-madrid/
64,Carvajal gets in furious spat with Barcelona boss Xavi during heated Clasico clash,https://www.thesun.co.uk/sport/21577673/real-madrid-carvajal-barcelona-xavi-el-clasico-spat/
65,Barcelona effectively under transfer ban as LaLiga stop them registering players,https://www.thesun.co.uk/sport/21570549/barcelona-summer-transfer-ban-la-liga-ffp/
66,"We've proved we're ready for the Prem and we'll do well there, says Burnley star",https://www.thesun.co.uk/sport/21588421/burnley-good-enough-for-premier-league/
67,"Fan rewarded by team after 1,000-mile trip in TWO hire cars & plane to watch them",https://www.thesun.co.uk/sport/21580366/benevento-fan-serie-b/
68,I was called up by England - now my doctor says I can NEVER run again,https://www.thesun.co.uk/sport/21584815/england-arsenal-mawson-retirement-knee-injury/
69,Kane would be sorely tempted by Man Utd or Bayern after another Spurs failure,https://www.thesun.co.uk/sport/21576481/kane-tottenham-trophy-man-united-bayern/
70,Jimmy led one of few strikes to achieve anything... but there's one I'd back,https://www.thesun.co.uk/sport/21508974/jimmy-hill-rugby-union-strike-brady/
71,"Marco Silva wasn't great for my career, but good enough for Champions League",https://www.thesun.co.uk/sport/21588397/marco-silva-champions-league-troy-deeney-watford-fulham/
72,"I'm Dortmund's sexiest fan, lingerie model and nurse… Reus is love of my life",https://www.thesun.co.uk/sport/21568090/dortmund-sexiest-fan-lingerie-model-nurse-reus-love/
73,Fifa slammed for appointing model Adriana Lima as global fan ambassador,https://www.thesun.co.uk/sport/21567158/fifa-dodd-supermodel-adriana-lima-global-fan-ambassador/
74,Prem legend's daughter has fans hot under the collar with see-through lingerie,https://www.thesun.co.uk/sport/21560685/premier-league-legend-daughter-see-through-lingerie/
