,titles,subtitles,links
37,ARABIAN DELIGHTS,Saudi Arabia out to surprise the world by making it to last 16 in Qatar,https://www.thesun.co.uk/sport/20437223/saudi-arabia-tactics-world-cup-predicted-line-up-stats/
38,CAN'T BEER STOPPED,Fans share tips on how to smuggle beer into World Cup after booze ban,https://www.thesun.co.uk/sport/20486761/fans-beer-world-cup-qatar-booze/
39,QATAR QUERY,"Qatar announce 67,000 fans at World Cup opener despite capacity of only 60,000",https://www.thesun.co.uk/sport/20489180/qatar-world-cup-announce-67000-fan-attendance-stadium-60000/
40,CUP FIRST,Female referees to make history by officiating at men’s World Cup for first time,https://www.thesun.co.uk/sport/20490597/female-referees-officiating-world-cup-first-time/
41,TORRIFYING,Enrique jokes he'll pick Spain ace at World Cup 'or daughter will chop head off’,https://www.thesun.co.uk/sport/20488783/spain-world-cup-enrique-jokes-daughter-chop-head-torres/
42,FALSE START,Fans in hysterics at farcical start to Qatar vs Ecuador as ref kicks off early,https://www.thesun.co.uk/sport/20487768/qatar-ecuador-ref-kick-off-early-world-cup/
43,ALLEZ LES BLEUS,Can Mbappe lift the defending champions hit by string on injury to stars?,https://www.thesun.co.uk/sport/20328704/france-tactics-world-cup-predicted-line-up-stats/
44,MAKING THEIR MARK,Entertaining Denmark have character & flair with Eriksen their star man,https://www.thesun.co.uk/sport/20436686/denmark-tactics-world-cup-predicted-line-up-stats/
45,AU INSPIRED,"Australia face battle to reach last 16, even with Mat Ryan between the sticks",https://www.thesun.co.uk/sport/20435386/australia-tactics-world-cup-predicted-line-up-stats/
46,TUNS TO PLAY FOR,"Tunisia need to improve defence in Qatar, otherwise they face early exit",https://www.thesun.co.uk/sport/20446337/tunisia-tactics-world-cup-predicted-line-up-stats/
47,YOUNG ONES,Will Havertz fire the Germans to a World Cup win? Youth could count against them,https://www.thesun.co.uk/sport/20328382/germany-tactics-world-cup-predicted-line-up-stats/
48,PLEASURE & SPAIN,Spain boss Luis Enrique has major problem to fix ahead of World Cup,https://www.thesun.co.uk/sport/20311297/spain-tactics-world-cup-predicted-line-up-stats/
49,AT WHAT COST,"Costa Rica aim to surprise like in 2014, when they reached the quarter final",https://www.thesun.co.uk/sport/20444614/costa-rica-tactics-world-cup-predicted-line-up-stats/
50,RISING SONS,World Cup will be tough for Japan having to contend with Spain and Germany,https://www.thesun.co.uk/sport/20443032/japan-tactics-world-cup-predicted-line-up-stats/
51,TWIN BLOW,Southgate says Walker and Maddison miss Iran and hints Maguire & Sterling start,https://www.thesun.co.uk/sport/20487394/england-world-cup-walker-maddison-miss-iran-opener/
52,'VERY DANGEROUS',England have best chance of World Cup win since 1966 says Iran's Queiroz,https://www.thesun.co.uk/sport/20488015/england-world-cup-win-1966-iran-queiroz/
53,REF AND READY,Referee for England v Iran sent off FIVE players in one game this season,https://www.thesun.co.uk/sport/20485312/referee-england-world-cup-iran/
